"음식이름","음식설명"
"수제비","밀가루 반죽을 손으로 뜯어 넣어 끓인 국으로, 쫄깃한 식감이 특징입니다."
"술국","술을 마신 후 해장용으로 먹는 국으로, 주로 돼지고기나 소고기 등을 넣어 끓입니다."
"숭어국","숭어를 주재료로 하여 끓인 국으로, 담백하고 시원한 맛이 특징입니다."
"쑥국","봄철에 나는 쑥을 넣어 끓인 국으로, 향긋한 향과 맛이 특징입니다."
"시래기국","말린 무청 시래기를 넣어 끓인 국으로, 구수한 맛이 특징입니다."
"아욱국","아욱을 넣어 끓인 국으로, 부드러운 식감과 담백한 맛이 특징입니다."
"우거짓국","배추 우거지를 넣어 끓인 국으로, 구수한 맛이 특징입니다."
"된장국","된장을 풀어 다양한 채소와 함께 끓인 국으로, 구수한 맛이 특징입니다."
"청국장","청국장을 풀어 끓인 국으로, 독특한 향과 깊은 맛이 특징입니다."
"오이토장국","오이와 토장을 넣어 끓인 국으로, 시원하고 담백한 맛이 특징입니다."
"재첩국","재첩을 넣어 끓인 국으로, 시원하고 담백한 맛이 특징입니다."
"콩국","갈아 만든 콩국물에 오이 등을 넣어 시원하게 먹는 여름철 별미입니다."
"콩나물국","콩나물을 넣어 끓인 국으로, 시원하고 담백한 맛이 특징입니다."
"탕국","소고기와 두부 등을 넣어 끓인 국으로, 주로 제사상에 올립니다."
"평양온반","평양 지역의 전통 음식으로, 밥 위에 고기와 채소를 얹고 뜨거운 육수를 부어 먹는 국밥의 일종입니다."
"해장국","숙취 해소를 위해 먹는 국으로, 선지, 콩나물, 우거지 등을 넣어 끓이며 지역과 재료에 따라 다양한 종류가 있습니다."
"호박국","호박을 주재료로 하여 끓인 국으로, 맑은 국물에 호박과 다른 채소, 두부 등을 넣어 담백하게 조리합니다."
"홍어애국","홍어의 간인 '애'를 넣어 끓인 국으로, 독특한 풍미와 깊은 맛이 특징입니다."
"갈비탕","소갈비를 푹 고아 만든 맑은 국으로, 갈비의 깊은 맛과 부드러운 고기 식감이 특징입니다."
"감자탕","돼지 등뼈와 감자를 주재료로 하여 얼큰하게 끓인 국으로, 우거지와 들깨 등을 넣어 풍부한 맛을 냅니다."
"곰탕","소의 사골, 도가니, 양지 등을 오래도록 고아 만든 맑은 국으로, 깊은 맛과 영양이 풍부합니다."
"꿩탕","꿩고기를 사용하여 끓인 국으로, 맑은 국물에 꿩의 담백한 맛이 어우러집니다."
"꽃게탕","꽃게를 주재료로 하여 시원하고 칼칼하게 끓인 국으로, 봄철에 특히 즐겨 먹습니다."
"내장탕","소나 돼지의 내장을 사용하여 끓인 국으로, 얼큰하고 깊은 맛이 특징입니다."
"누룽지탕","밥을 지을 때 생긴 누룽지를 물에 끓여 만든 음식으로, 구수하고 담백한 맛이 있습니다."
"닭개장","닭고기와 다양한 채소를 넣어 맵고 얼큰하게 끓인 국으로, 매운맛이 특징입니다."
"닭곰탕","닭고기를 푹 고아 만든 맑은 국으로, 부드러운 닭고기와 담백한 국물이 특징입니다."
"도가니탕","소의 도가니를 푹 고아 만든 국으로, 쫄깃한 도가니와 진한 국물이 특징입니다."
"보신탕","개고기를 사용하여 만든 국으로, 보양식으로 알려져 있습니다."
"삼계탕","어린 닭 한 마리에 인삼, 대추, 찹쌀 등을 넣어 푹 고아 만든 보양식으로, 여름철에 특히 즐겨 먹습니다."
"새우탕","새우를 주재료로 하여 시원하게 끓인 국으로, 해산물의 풍미가 가득합니다."
"서더리탕","생선의 머리와 뼈 등을 사용하여 얼큰하게 끓인 국으로, 시원한 맛이 특징입니다."
"설렁탕","소의 머리, 사골, 내장 등을 푹 고아 만든 맑은 국으로, 부드러운 고기와 깊은 국물이 특징입니다."
"승가기탕","전통 궁중 요리로, 닭고기와 해삼 등을 넣어 끓인 맑은 국입니다."
"신선로","전골의 일종으로, 다양한 재료를 육수와 함께 끓여 먹는 궁중 요리입니다."
"아귀탕","아귀를 주재료로 하여 얼큰하게 끓인 국으로, 콩나물 등을 넣어 시원한 맛을 냅니다."
"알탕","생선의 알을 주재료로 하여 얼큰하게 끓인 국으로, 독특한 식감과 맛이 특징입니다."
"육개장","소고기와 다양한 채소를 넣어 맵고 얼큰하게 끓인 국으로, 매운맛이 특징입니다."
"연포탕","낙지를 주재료로 하여 맑고 시원하게 끓인 국으로, 담백한 맛이 특징입니다."
"임자수탕","닭고기와 참깨를 주재료로 하여 만든 전통 음식으로, 고소한 맛이 특징입니다."
"조개탕","조개를 주재료로 하여 시원하게 끓인 국으로, 해산물의 풍미가 가득합니다."
"짱뚱어탕","짱뚱어를 주재료로 하여 끓인 국으로, 독특한 맛과 영양이 풍부합니다."
"초계탕","차가운 닭고기 육수에 닭고기와 채소를 넣어 먹는 여름철 별미로, 시원하고 상큼한 맛이 특징입니다."
"추어탕","미꾸라지를 푹 고아 만든 국으로, 보양식으로 유명합니다."
"추포탕","추어탕과 유사하지만, 지역에 따라 조리법과 재료가 다를 수 있습니다."
"토끼탕","토끼 고기를 사용하여 만든 국으로, 담백한 맛이 특징입니다."
"곱창전골","곱창과 다양한 채소를 넣어 끓인 전골 요리입니다."
"국수전골","국수와 고기, 채소를 함께 넣어 끓인 전골 요리입니다."
"김치전골","김치와 돼지고기 등을 넣어 끓인 매콤한 전골 요리입니다."
"두부전골","두부와 채소를 넣어 끓인 전골 요리로, 담백한 맛이 특징입니다."
"만두전골","만두를 국물에 넣어 끓인 전골 요리입니다."
"버섯전골","다양한 버섯과 채소를 넣어 끓인 전골 요리입니다."
"소고기전골","소고기와 채소를 넣어 끓인 전골 요리입니다."
"어복쟁반","소고기와 채소를 얇게 썰어 육수와 함께 끓여 먹는 요리로, 북한의 전통 음식입니다."
"불낙전골","불고기와 낙지를 함께 넣어 끓인 전골 요리입니다."
"갈치찌개","갈치와 무 등을 넣어 끓인 찌개로, 시원한 국물이 특징입니다."
"김치찌개","김치와 돼지고기 등을 넣어 끓인 대표적인 한식 찌개입니다."
"고추장찌개","고추장을 풀어 매콤하게 끓인 찌개로, 다양한 재료를 사용할 수 있습니다."
"된장찌개","된장을 풀어 두부, 채소 등을 넣어 끓인 찌개로, 구수한 맛이 특징입니다."
"동태찌개","동태와 무 등을 넣어 끓인 찌개로, 시원한 국물이 특징입니다."
"두부찌개","두부를 주재료로 한 찌개로, 다양한 재료와 함께 끓입니다."
"순두부찌개","순두부와 해산물, 고기 등을 넣어 매콤하게 끓인 찌개입니다."
"부대찌개","햄, 소시지, 김치 등을 넣어 끓인 찌개로, 한국전쟁 이후 탄생한 요리입니다."
"비지찌개","두부를 만들 때 나오는 비지를 사용하여 끓인 찌개입니다."
"간장","콩을 발효시켜 만든 장으로, 한식의 기본 조미료입니다."
"된장","콩을 발효시켜 만든 장으로, 찌개나 양념 등에 사용됩니다."
"쌈장","된장에 고추장, 마늘, 참기름 등을 섞어 만든 장으로, 쌈을 먹을 때 사용합니다."
"막장","된장과 보리를 섞어 발효시킨 장으로, 독특한 맛이 특징입니다."
"고추장","고춧가루, 찹쌀가루 등을 발효시켜 만든 매운 장입니다."
"초고추장","고추장에 식초와 설탕 등을 섞어 만든 새콤달콤한 소스입니다."
"명란젓","명태의 알을 소금에 절여 발효시킨 젓갈입니다."
"창난젓","명태의 창자를 소금에 절여 발효시킨 젓갈입니다."
"새우젓","작은 새우를 소금에 절여 발효시킨 젓갈로, 김치 담글 때 사용됩니다."
"대구아가미젓","대구의 아가미를 소금에 절여 발효시킨 젓갈입니다."
"멸치젓","멸치를 소금에 절여 발효시킨 젓갈입니다."
"까나리액젓","까나리를 소금에 절여 발효시킨 액젓으로, 김치 담글 때 사용됩니다."
"황석어젓","황석어를 소금에 절여 발효시킨 젓갈입니다."
"오징어젓","오징어를 소금에 절여 발효시킨 젓갈입니다."
"낙지젓","낙지를 소금에 절여 발효시킨 젓갈입니다."
"꼴뚜기젓","꼴뚜기를 소금에 절여 발효시킨 젓갈입니다."
"조개젓","조개를 소금에 절여 발효시킨 젓갈입니다."
"토하젓","민물새우를 소금에 절여 발효시킨 젓갈입니다."
"자리젓","제주도에서 자리돔을 소금에 절여 발효시킨 젓갈입니다."
"어란","생선의 알을 소금에 절여 말린 식품으로, 고급 진미로 알려져 있습니다."
"국화차","국화꽃을 우려낸 차로, 은은한 향과 맛이 특징입니다."
"둥굴레차","둥굴레 뿌리를 말려 끓인 차로, 부드러운 맛과 은은한 향이 특징입니다."
"메밀차","볶은 메밀을 우려낸 차로, 고소한 맛과 향을 지니고 있습니다."
"모과차","모과를 설탕에 절여 만든 차로, 상큼하고 달콤한 맛이 납니다."
"보리차","볶은 보리를 끓여 만든 차로, 구수한 맛과 향이 특징입니다."
"순채차","순채를 우려낸 차로, 독특한 향과 맛을 지니고 있습니다."
"쌍화차","여러 한약재를 달여 만든 차로, 몸을 따뜻하게 해주며 피로 회복에 좋습니다."
"연잎차","연잎을 말려 우려낸 차로, 은은한 향과 깔끔한 맛이 특징입니다."
"오미자차","오미자를 우려낸 차로, 달고 시고 쓰고 맵고 짠 다섯 가지 맛이 조화를 이룹니다."
"옥수수수염차","옥수수 수염을 끓여 만든 차로, 부드러운 맛과 향이 있습니다."
"유자차","유자를 설탕에 절여 만든 차로, 상큼하고 달콤한 맛이 특징입니다."
"율무차","볶은 율무 가루를 물에 타서 만든 차로, 고소한 맛이 납니다."
"인삼차","인삼을 달여 만든 차로, 특유의 쌉싸름한 맛과 향이 있으며, 건강에 좋습니다."
"형개차","형개의 잎을 우려낸 차로, 독특한 향과 맛을 지니고 있습니다."
"녹운탕","여러 한약재를 달여 만든 전통 음료로, 건강에 좋습니다."
"수지탕","수지를 사용하여 만든 전통 음료로, 독특한 맛과 향이 있습니다."
"봉수탕","여러 한약재를 달여 만든 전통 음료로, 건강에 좋습니다."
"온조탕","여러 한약재를 달여 만든 전통 음료로, 건강에 좋습니다."
"쌍화탕","여러 한약재를 달여 만든 전통 음료로, 몸을 따뜻하게 해주며 피로 회복에 좋습니다."
"제호탕","여러 한약재를 달여 만든 전통 음료로, 건강에 좋습니다."
"행락탕","여러 한약재를 달여 만든 전통 음료로, 건강에 좋습니다."
"숭늉","밥을 지은 후 남은 누룽지에 물을 부어 끓인 음료로, 구수한 맛이 특징입니다."
"식혜","엿기름과 밥을 발효시켜 만든 전통 음료로, 달콤하고 시원한 맛이 납니다."
"감주","엿기름과 찹쌀을 발효시켜 만든 전통 음료로, 달콤한 맛이 특징입니다."
"수단","찹쌀가루로 만든 경단을 꿀물에 담근 전통 디저트입니다."
"수정과","생강과 계피를 달여 만든 음료로, 달콤하고 매콤한 맛이 조화를 이룹니다."
"칡즙","칡뿌리를 갈아 만든 음료로, 시원하고 달콤한 맛이 특징입니다."
"호박차","호박을 말려 우려낸 차로, 부드럽고 달콤한 맛이 납니다."
"고로쇠물","고로쇠나무에서 채취한 수액으로, 약간의 단맛이 있으며 건강에 좋습니다."
"청주","맑게 걸러낸 전통주로, 깔끔하고 부드러운 맛이 특징입니다."
"탁주","쌀을 발효시켜 만든 전통주로, 걸쭉하고 부드러운 맛이 납니다."
"소주","증류주로, 맑고 깨끗한 맛이 특징이며 도수가 높습니다."
"매실주","매실을 담가 만든 술로, 상큼하고 달콤한 맛이 납니다."
"복분자주","복분자를 담가 만든 술로, 달콤하고 풍부한 향이 특징입니다."
"이강고","생강과 꿀을 사용하여 만든 전통주로, 독특한 맛과 향이 있습니다."
"죽력고","대나무 수액과 여러 한약재를 사용하여 만든 전통주로, 건강에 좋습니다."
"홍주","붉은 빛깔을 띠는 전통주로, 독특한 맛과 향이 있습니다."
"곶감","감을 말려 만든 간식으로, 달콤하고 쫄깃한 식감이 특징입니다."
"감말랭이","감을 얇게 썰어 건조시킨 것으로, 쫄깃한 식감과 자연스러운 단맛이 특징입니다. 간식이나 요리 재료로 활용됩니다."
"오매","매실을 소금에 절여 건조시킨 것으로, 새콤하고 짭짤한 맛이 나며 소화 촉진과 피로 회복에 도움을 줍니다."
"빙수","곱게 간 얼음 위에 팥, 과일, 젤리, 아이스크림 등을 올려 먹는 여름철 대표 디저트로, 시원하고 달콤한 맛이 특징입니다."
"과일청","신선한 과일을 설탕이나 꿀에 재워 만든 시럽으로, 물이나 탄산수에 타서 음료로 즐기거나 요리의 재료로 사용됩니다."
"화채","다양한 과일을 얇게 썰어 꿀물이나 오미자차 등에 담가 시원하게 즐기는 전통 음료로, 여름철 갈증 해소에 좋습니다."
"한과","쌀, 밀가루, 꿀, 엿 등을 주재료로 하여 만든 전통 과자로, 유과, 강정, 다식 등 다양한 종류가 있습니다."
"유과","찹쌀가루를 반죽하여 기름에 튀긴 후, 엿이나 꿀을 발라 쌀튀밥 등을 묻힌 전통 과자로, 바삭하고 달콤한 맛이 특징입니다."
"유밀과","밀가루나 찹쌀가루를 반죽하여 기름에 튀긴 후, 꿀이나 엿에 재워 만든 과자로, 달콤하고 쫄깃한 식감이 특징입니다."
"강정","쌀, 깨, 콩 등을 엿이나 꿀로 버무려 굳힌 과자로, 바삭하고 달콤한 맛이 특징입니다."
"다식","곡물 가루나 콩가루에 꿀을 섞어 틀에 찍어 만든 전통 과자로, 차와 함께 즐기기 좋습니다."
"정과","과일이나 뿌리채소를 꿀이나 설탕 시럽에 조려 만든 저장식품으로, 달콤하고 부드러운 맛이 특징입니다."
"과편","과일즙에 한천을 섞어 굳힌 젤리 형태의 전통 과자로, 투명하고 아름다운 색감과 달콤한 맛이 특징입니다."
"엿","곡물을 엿기름으로 삭혀 만든 전통적인 단맛의 간식으로, 쫀득한 식감과 깊은 단맛이 특징입니다."
"달고나","설탕을 녹여 베이킹 소다를 넣어 부풀린 후 굳힌 간식으로, 바삭하고 달콤한 맛이 특징입니다."
"뻥튀기","쌀이나 옥수수 등을 높은 압력과 열로 팽창시켜 만든 간식으로, 가볍고 바삭한 식감이 특징입니다."
"술빵","밀가루 반죽에 막걸리나 누룩을 넣어 발효시킨 후 찐 빵으로, 부드럽고 은은한 단맛이 특징입니다."
"개성주악","찹쌀 반죽에 꿀을 넣어 둥글게 빚은 후 기름에 지져낸 개성 지역의 전통 과자로, 쫄깃하고 달콤한 맛이 특징입니다."
"김밥","김 위에 밥과 다양한 재료를 올려 말아 만든 음식으로, 간편하게 먹을 수 있어 인기 있는 한식입니다."
"떡볶이","가래떡을 매콤한 고추장 양념에 볶아 만든 음식으로, 쫄깃한 식감과 매콤달콤한 맛이 특징입니다."
"오징어튀김","오징어에 튀김옷을 입혀 바삭하게 튀긴 음식으로, 고소하고 쫄깃한 맛이 특징입니다."
"야채튀김","다양한 채소에 튀김옷을 입혀 바삭하게 튀긴 음식으로, 고소하고 다양한 식감을 즐길 수 있습니다."
"고구마튀김","고구마를 얇게 썰어 튀김옷을 입혀 바삭하게 튀긴 음식으로, 달콤하고 고소한 맛이 특징입니다."
"고추튀김","매운 고추에 속을 채워 튀김옷을 입혀 바삭하게 튀긴 음식으로, 매콤하고 고소한 맛이 특징입니다."
"김말이","김 위에 볶은 당면을 올리고 돌돌 말아 튀김옷을 입혀 튀긴 음식으로, 주로 떡볶이와 함께 먹으며 남녀노소 좋아하는 간식거리입니다."
"튀김만두","만두를 기름에 바삭하게 튀긴 음식으로, 겉은 바삭하고 속은 촉촉한 식감이 특징입니다."
"오뎅","어묵을 국물에 끓여 먹는 음식으로, 따뜻한 국물과 쫄깃한 어묵의 조화가 일품입니다."
"라면","밀가루 면을 뜨거운 국물에 끓여 먹는 즉석 음식으로, 다양한 종류와 맛이 있으며 간편하게 즐길 수 있습니다."
"쫄면","쫄깃한 면발에 매콤달콤한 양념장을 버무려 먹는 음식으로, 채소와 함께 비벼 먹어 상큼한 맛을 더합니다."
